Course,Average Rank,Count
ACC 6400 Advanced Tax Business Entities,2.558139534883721,43
ACC 6060 Professionalism and Leadership,2.641509433962264,53
ACC 6300 Data Analytics,3.25,32
ACC 6600 Business Law for Accountants,3.2941176470588234,17
ACC 6560 Financial Theory & Research I,3.980769230769231,52
ACC 6350 Managment Control Systems,4.019607843137255,51
ACC 6510 Financial Audit,4.423076923076923,52
ACC 6540 Professional Ethics,5.34,50
